word,spell
دفاتر,/dafāter/
ال,/'al/
مرعی,/mar'i[y]/
مرعوب,/mar'ub/
گریه گر,/geryegar/
سپیدبا,/sepidbā/
تحمیل,/tahmil/
مردنی,/mordani/
مکحل,/mekhal/
رستم صولت,/rostamso[w]lat/
وقیح,/vaqih/
رستمانه,/rostamāne/
مشتوک,/moštuk/
مشتوت,/maštut/
وقیحانه,/vaqihāne/
کج بین,/kajbin/
دوجین,/dojin/
فطره,/fetre/
اقاویل,/'aqāvil/
ام الخبائث,/'ommolxabā'(y)es/
ام الامراض,/'ommol'amrāz/
مرئی,/mar'ā/
پی فراخی,/peyfarāxi/
علامات,/'alāmāt/
علام الغیوب,/'allāmolqoyub/
معیار,/me'yār/
سیاف,/sayyāf/
تین,/tin/
کرکری,/karkari/
تیموک,/timuk/
یافه,/yāfe/
استخوان بندی,/'osto(e)xānbandi/
استخوان خوار,/'osto(e)xānxār/
گردبندن,/gordbandan/
ستان,/[e]stān/
چرب تر,/čarbtar/
یافوخ,/yāfux/
چرب پهلو,/čarbpahlu/
پیکارسان,/peykārsān/
قیقاج,/qeyqāj/
قیفاووس,/qifāvus/
مدرک,/madrak/
پیشار,/pišār/
کبیتک,/koba(e)ytak/
کبیتا,/kobe(a)ytā/
پیشادست,/pišādast/
واهلیدن,/vāhelidan/
اثبات,/'asbāt/
هال,/hāl/
رجز,/rajaz/
منقح,/monaqqah/
بار,/bār/
پلغده,/palaqde/
منقبض,/monqabez/
جواز,/javāz/
پلغیدن,/poloqidan/
واهب العطایا,/vāhebol'atāyā/
لعبگر,/la'bgar/
بنات,/banāt/
لعبتگر,/lo'batgar/
یزش,/yazeš/
یزدان پرست,/yazdānparast/
چرونس,/červons/
ناغول,/nāqul/
ناغیست,/nāqist/
قوت,/qovvat/
ملفوف,/malfuf/
ملق,/malaq/
سردار,/sardār/
سرداب,/sardāb/
دالمن,/dālman/
پابرچین,/pābarčin/
پابرجا,/pābarjā/
انعام,/'an'ām/
انعدام,/'en'edām/
کبجه,/kabje/
دالتونیسم,/dāltonism/
